z_mean,z_std,grp_mean,grp_std,row_mean,row_std,x_mean,x_std,av_ionrad_mean,av_ionrad_std,atom_rad_mean,atom_rad_std,atom_mass_mean,atom_mass_std,cal_atom_rad_mean,cal_atom_rad_std,cov_rad_mean,cov_rad_std,bp_mean,bp_std,rho_mean,rho_std,mp_mean,mp_std,mol_vol_mean,mol_vol_std,k_mean,k_std,vdw_mean,vdw_std,iupac_mean,iupac_std,val_mean,val_std,heat_fus_mean,heat_fus_std,heat_vap_mean,heat_vap_std,spec_heat_mean,spec_heat_std,ea_mean,ea_std,ie_mean,ie_std,p_mean,p_std,pet_mn_mean,pet_mn_std,mn_mean,mn_std,rsp_mean,rsp_std,av_rsp_mean,av_rsp_std,gtf,of,rho,Ehull,Ef,Eg
34,13.65283853,12.4,4.715930449,4.6,1.743559577,1.908,0.418301327,0.7384,0.221725596,1.3,0.325576412,78.351154,35.2951744,1.358,0.451149643,1.368,0.353576017,1915.4,1272.359949,5.1314,1.41006902,1230,231.9560303,14.66,3.880340191,62.6,45.98956403,2.126,0.437840153,79.8,16.47300823,4.4,0.8,0.2892512,0.14384874,1.7740464,1.76676484,0.3778,0.173903881,0.8603044,0.296257012,8.618878,1.647825443,9.882,10.61709075,77,22.054478,68.6,27.89695324,1.749,0.665502817,0.8745,0.332751409,1.079516353,0.818181818,5.29,0.011,-0.658,0
47.8,17.41723285,12.6,6.248199741,4.8,0.979795897,2.442,0.841864597,1.1058,0.359471501,1.48,0.565331761,113.916804,46.32158205,1.508,0.798558702,1.48,0.483983471,1013.8,1083.835486,6.1078,6.613588085,487.264,425.2589678,28.098,21.73929566,71.272,125.1379665,2.128,0.655145785,75.6,36.0921044,4.2,1.6,0.06628328,0.03493827,0.9083648,1.27064636,0.6426,0.374883683,2.574204,1.127895837,9.712166,3.077004568,14.874,22.29845071,74.4,34.92620792,71.2,34.95368364,2.114,1.235048177,1.057,0.617524089,0.975032546,1.211778029,5.131,0,-0.901,0.68
44.2,17.41723285,12.6,6.248199741,4.6,0.8,2.448,0.830093971,1.0758,0.300944779,1.49,0.585149554,104.429274,46.3187993,1.442,0.678834295,1.432,0.388967865,1017.2,1083.637836,6.0384,6.659261989,489.438,424.3309843,25.062,15.79017213,75.672,124.2036918,2.048,0.496483635,75.8,35.7121828,4.2,1.6,0.06649048,0.034675055,0.9228688,1.268174773,0.667,0.351240567,2.5770628,1.122568488,9.768812,2.970122758,12.45,17.45751987,74.6,34.54620095,71,35.3327044,2.072,1.16100646,1.036,0.58050323,0.920723269,1.211778029,4.752,0,-0.865,0.751
36,11.13552873,10.8,7.6,4.4,0.8,2.134,1.013816551,1.1198,0.359167593,1.57,0.573236426,82.53909,29.5314933,1.548,0.814036854,1.56,0.490550711,739.4,561.3012026,2.5578,0.696367259,442.798,336.3867132,31.296,19.97734076,47.272,77.61808202,2.258,0.612483469,64.4,43.67424871,3.6,1.743559577,0.05807816,0.021273861,0.5457648,0.56558784,0.74298,0.278840624,2.117388,1.532810933,9.089698,3.409353425,18.274,21.94897957,63.6,42.20710841,59.4,43.60550424,2.182,1.272044024,1.091,0.636022012,0.941294395,1.291053228,3.563,0,-1.987,4.404
28.8,7.6,10.8,7.6,4,0,2.14,1.00590258,1.0618,0.24978823,1.49,0.435201103,61.97766,22.18084624,1.438,0.629298022,1.478,0.351021367,757,568.770604,2.3532,0.964436084,449.786,333.7331664,26.296,10.13183814,60.072,79.94600338,2.122,0.361020775,64.8,43.15275194,3.6,1.743559577,0.05857544,0.020428869,0.5724936,0.57359966,0.84598,0.130331169,2.1233568,1.526435525,9.17905,3.275227627,15.07,16.09834153,64,41.6845295,59,44.10895601,2.058,1.073245545,1.029,0.536622773,0.839929607,1.291053228,3.027,0.001,-1.958,4.595
32.4,6.248199741,10.8,7.6,4.2,0.4,2.14,1.00590258,1.0898,0.301975761,1.58,0.59126982,73.05156,16.627005,1.482,0.70075388,1.512,0.406664481,742.8,562.5802698,2.4884,0.773569803,444.972,335.5010485,28.26,13.97300827,51.672,77.47782299,2.178,0.461753181,64.6,43.41244061,3.6,1.743559577,0.05828536,0.020920183,0.5602688,0.569326785,0.76738,0.235978197,2.1202468,1.529749077,9.146344,3.323835662,15.85,17.48670924,63.8,41.94472553,59.2,43.85612842,2.14,1.20266371,1.07,0.601331855,0.888864332,1.291053228,3.355,0,-1.962,4.628
41.6,8.380930736,12.8,6.209669879,4.6,0.8,2.272,0.889390803,1.1098,0.359162025,1.52,0.561782876,97.00569,21.92496179,1.482,0.792676479,1.496,0.481065484,596,324.7546766,3.9778,2.385031522,338.642,128.5385823,28.656,21.30444611,26.672,37.81022423,2.112,0.667245082,76.4,36.02554649,3.6,1.743559577,0.05343688,0.016018369,0.4318048,0.360879354,0.66278,0.348485072,1.967378,1.751403612,9.665826,3.085717242,15.186,22.17990316,75.4,34.85742389,72,34.87119155,2.025,1.208238387,1.0125,0.604119194,0.96514879,1.234428086,4.332,0,-1.278,2.902
38,5.059644256,12.8,6.209669879,4.4,0.489897949,2.278,0.879417989,1.0798,0.300974019,1.53,0.581033562,87.51816,12.63157755,1.416,0.669345949,1.448,0.38731899,599.4,328.4482303,3.9084,2.449276269,340.816,127.9842574,25.62,15.29706377,31.072,39.86401204,2.032,0.50983919,76.6,35.64042648,3.6,1.743559577,0.05364408,0.015607319,0.4463088,0.371191383,0.68718,0.321386405,1.9702368,1.748969751,9.722472,2.980029016,12.762,17.34948921,75.6,34.47085726,71.8,35.25563785,1.983,1.129139495,0.9915,0.564569748,0.911390038,1.234428086,4.305,0,-1.251,2.754
46.8,17.82582396,15.2,2.227105745,4.6,0.8,2.438,0.63969993,1.0144,0.178336312,1.38,0.302654919,111.30126,48.21381856,1.198,0.316379519,1.298,0.120066648,756.4,565.7001326,5.972,3.636599511,393.724,156.7688665,17.912,2.648579997,28.672,38.50876596,1.818,0.126396202,90.4,11.77454882,4,1.264911064,0.0578088,0.007424586,0.6410768,0.634188532,0.64018,0.377497207,1.9130528,1.800481484,10.108686,2.278999894,4.822,2.171574544,89.4,10.57544325,86.2,10.94349122,1.61,0.502185225,0.805,0.251092612,0.794195959,1.234428086,5.758,0.001,-0.886,2.747
31.2,4.749736835,13.2,4.749736835,4,0,2.484,0.58711498,0.8714,0.056216012,1.24,0.111355287,70.128258,12.17210003,1.2,0.321496501,1.25,0.073756356,1428,1344.759309,5.08,2.464175318,949.08,846.9248713,14.648,6.287884859,38.872,47.49922374,2.08,0.28213472,85,18.59032006,5,0.632455532,0.1120952,0.065234774,1.5714048,1.74078219,0.74218,0.251364718,2.2837528,1.322523228,10.017786,2.227726271,5.65,3.438168117,83,18.50405361,78.4,20.52900387,1.612,0.521781563,0.806,0.260890782,0.78077266,0.869762174,4.511,0.785,0.138,0
